tconst,nconst,director_id
tt0160447,nm0692415,9701
tt0160480,nm0081627,1791
tt0160484,nm0001405,286
tt0160495,nm6497799,51223
tt0160547,nm0115192,2215
tt0160611,nm0642823,9110
tt0160616,nm0566427,8140
tt0160644,nm0075626,1688
tt0160652,nm0132414,2450
tt0160663,nm0770896,10661
tt0160706,nm0442287,6485
tt0160710,nm0689319,9658
tt0160749,nm0701039,9807
tt0160751,nm0470927,6899
tt0160759,nm0274278,4256
tt0160797,nm0001243,260
tt0160859,nm0424787,6224
tt0160870,nm1469870,22002
tt0160905,nm0755197,10430
tt0161003,nm0235702,3805
tt0161081,nm0000709,156
tt0161083,nm0918873,12585
tt0161088,nm0547790,7908
tt0161216,nm0339254,5102
tt0161860,nm0512862,7483
tt0162030,nm0937321,12789
tt0162203,nm0732505,10168
tt0162222,nm0000709,156
tt0162346,nm0959062,13143
tt0162650,nm0005436,701
tt0162711,nm0748928,10351
tt0162838,nm0580618,8298
tt0162983,nm0000473,105
tt0163025,nm0002653,444
tt0163080,nm0959052,13142
tt0163125,nm0225225,3680
tt0163246,nm0955131,13080
tt0163596,nm0153581,2732
tt0163676,nm0005116,672
tt0163745,nm0129132,2400
tt0163764,nm0342660,5138
tt0163978,nm0000965,211
tt0163983,nm0751080,10375
tt0164003,nm0000369,73
tt0164052,nm0000682,152
tt0164182,nm0259121,4073
tt0164184,nm0004675,631
tt0164192,nm0546153,7888
tt0164192,nm7919195,54407
tt0164212,nm0394280,5789
tt0164318,nm0819500,11300
tt0164334,nm0848414,11654
tt0164545,nm0338628,5093
tt0164810,nm0909699,12460
tt0164953,nm0709087,9911
tt0164961,nm0685759,9610
tt0165361,nm0185063,3178
tt0165400,nm0567979,8163
tt0165452,nm0135066,2490
tt0165642,nm0252046,3988
tt0165713,nm0457767,6726
tt0165800,nm0861151,11813
tt0165832,nm0301826,4601
tt0165928,nm0340244,5112
tt0165929,nm0005647,723
tt0165982,nm1369708,20648
tt0165982,nm0426333,6244
tt0166013,nm0533334,7720
tt0166069,nm0875354,12024
tt0166110,nm0225416,3683
tt0166158,nm0000671,150
tt0166186,nm1093039,15556
tt0166192,nm0359087,5360
tt0166276,nm0783139,10832
tt0166339,nm0103092,2062
tt0166370,nm0403963,5928
tt0166813,nm0038432,1230
tt0166813,nm0177170,3073
tt0166924,nm0000186,34
tt0167116,nm0338575,5090
tt0167183,nm0877596,12066
tt0167190,nm0868219,11911
tt0167203,nm0399853,5874
tt0167260,nm0001392,282
tt0167261,nm0001392,282
tt0167360,nm0573732,8222
tt0167456,nm0000408,84
tt0168446,nm0596407,8504
tt0168446,nm2685346,31970
tt0168504,nm0007045,790
tt0168509,nm0041671,1286
tt0168578,nm0905684,12405
tt0168612,nm0604694,8597
tt0168629,nm0001885,371
tt0168631,nm0549820,7931
tt0168714,nm6225028,50456
tt0168786,nm0000243,50
tt0168856,nm0373798,5551
tt0168856,nm0280745,4345
tt0168856,nm0233036,3770
tt0168856,nm0544337,7865
tt0169102,nm0332950,5019
tt0169122,nm0612730,8698
tt0169324,nm0855107,11739
tt0169543,nm0408644,6015
tt0169579,nm0007504,822
tt0170008,nm0618680,8789
tt0170016,nm0000165,28
tt0170367,nm0224689,3666
