genre_id,genre_name
0,Action
1,Adult
2,Adventure
3,Animation
4,Biography
5,Comedy
6,Crime
7,Drama
8,Family
9,Fantasy
10,Game-Show
11,History
12,Horror
13,Music
14,Musical
15,Mystery
16,News
17,Reality-TV
18,Romance
19,Sci-Fi
20,Short
21,Sport
22,Talk-Show
23,Thriller
24,War
25,Western
