certification,budget,revenue,imdb_id
,,,0
R,4000000.0,6718.0,tt0166158
,100.0,0.0,tt0166186
,0.0,0.0,tt0166192
PG-13,75000000.0,5409520.0,tt0166276
,100000.0,0.0,tt0166370
R,15000000.0,20271100.0,tt0166924
,0.0,0.0,tt0167183
PG-13,34000000.0,14400300.0,tt0167203
PG,0.0,0.0,tt0167360
,0.0,0.0,tt0168446
R,0.0,0.0,tt0168504
,0.0,0.0,tt0168509
R,10000.0,10000.0,tt0168612
R,12800000.0,40031900.0,tt0168629
,0.0,0.0,tt0168631
,0.0,0.0,tt0168714
,18000000.0,5595330.0,tt0168856
PG,5200000.0,8100000.0,tt0169102
,0.0,0.0,tt0169122
R,0.0,0.0,tt0169324
,0.0,0.0,tt0169543
NR,0.0,0.0,tt0170008
PG,123000000.0,345823000.0,tt0170016
,0.0,0.0,tt0170367
,0.0,0.0,tt0170452
R,10000000.0,148701.0,tt0170691
,0.0,0.0,tt0171339
R,10000000.0,1631840.0,tt0171356
R,2000000.0,1568750.0,tt0171359
PG-13,30000000.0,59945200.0,tt0171433
R,24000000.0,0.0,tt0171580
,0.0,0.0,tt0172464
R,103000000.0,465361000.0,tt0172495
,0.0,0.0,tt0172543
,0.0,0.0,tt0172632
,0.0,0.0,tt0172699
R,0.0,0.0,tt0172794
R,100000.0,0.0,tt0172949
,0.0,0.0,tt0172995
R,0.0,0.0,tt0173498
,0.0,0.0,tt0173568
R,10000000.0,0.0,tt0173716
PG-13,137000000.0,85131800.0,tt0173840
R,3000000.0,0.0,tt0174336
PG-13,65000000.0,0.0,tt0174480
,0.0,0.0,tt0174646
,0.0,0.0,tt0174732
,0.0,0.0,tt0175114
R,19000000.0,278020000.0,tt0175142
R,0.0,0.0,tt0175526
,0.0,0.0,tt0176244
R,0.0,0.0,tt0176579
R,0.0,0.0,tt0176650
R,14000000.0,5108820.0,tt0176783
PG,0.0,0.0,tt0176883
R,0.0,0.0,tt0177068
,0.0,0.0,tt0177185
,30000.0,0.0,tt0177195
,0.0,0.0,tt0177213
,0.0,0.0,tt0177513
PG-13,16000000.0,146193.0,tt0177650
,0.0,0.0,tt0177845
,0.0,0.0,tt0177858
,3000000.0,0.0,tt0177885
R,0.0,27.0,tt0177888
PG-13,120000000.0,325757000.0,tt0177971
,0.0,0.0,tt0177997
R,0.0,0.0,tt0178043
R,0.0,0.0,tt0178050
R,0.0,0.0,tt0178642
,0.0,0.0,tt0179144
R,11000000.0,0.0,tt0179183
R,0.0,0.0,tt0179344
,0.0,0.0,tt0179400
R,0.0,0.0,tt0179435
,0.0,0.0,tt0179443
R,4000000.0,0.0,tt0179473
R,60000000.0,56360000.0,tt0179626
,0.0,0.0,tt0179653
,0.0,0.0,tt0179861
,13500000.0,7060880.0,tt0180073
R,4500000.0,7390110.0,tt0180093
PG-13,0.0,0.0,tt0180679
,0.0,0.0,tt0180683
PG-13,32000000.0,40222700.0,tt0180734
R,60000000.0,0.0,tt0181151
,0.0,0.0,tt0181311
PG-13,43000000.0,80049800.0,tt0181536
PG,75000000.0,13596900.0,tt0181739
R,0.0,0.0,tt0181836
R,48000000.0,207516000.0,tt0181865
NR,60000000.0,47386300.0,tt0181875
,0.0,0.0,tt0181945
R,7000000.0,28780300.0,tt0181984
,13500000.0,794481.0,tt0182000
,0.0,0.0,tt0182027
,13000000.0,299792.0,tt0182295
,0.0,0.0,tt0182508
,0.0,0.0,tt0183056
,0.0,0.0,tt0183113
,0.0,0.0,tt0183142
R,0.0,0.0,tt0183280
,0.0,0.0,tt0183423
,0.0,0.0,tt0183488
R,51000000.0,149271000.0,tt0183505
PG,90000000.0,60874600.0,tt0183523
,0.0,0.0,tt0183550
,0.0,0.0,tt0183639
R,6000000.0,10994500.0,tt0183659
PG-13,65000000.0,117487000.0,tt0183790
,3500000.0,0.0,tt0183808
,10500000.0,64400000.0,tt0183869
,0.0,0.0,tt0184457
R,0.0,16017400.0,tt0184791
R,42000000.0,32169000.0,tt0184858
PG-13,55000000.0,99274500.0,tt0184894
PG,13000000.0,62464700.0,tt0184907
,0.0,537.0,tt0185007
R,35000000.0,0.0,tt0185014
PG-13,73000000.0,29000000.0,tt0185183
PG-13,85000000.0,58292300.0,tt0185431
,0.0,0.0,tt0185542
,0.0,0.0,tt0186029
PG-13,6000000.0,15427200.0,tt0186045
PG-13,31000000.0,68106200.0,tt0186151
,700000.0,0.0,tt0186183
PG-13,0.0,0.0,tt0186202
,0.0,0.0,tt0186454
R,0.0,0.0,tt0186549
PG-13,65000000.0,128884000.0,tt0186566
PG-13,11000000.0,13277000.0,tt0186589
,0.0,0.0,tt0186719
PG-13,35000000.0,36779300.0,tt0186894
PG-13,9000000.0,0.0,tt0186975
PG-13,90000000.0,237202000.0,tt0187078
PG-13,0.0,0.0,tt0187387
R,110000000.0,215294000.0,tt0187393
R,3000000.0,0.0,tt0187559
R,0.0,0.0,tt0187696
R,0.0,0.0,tt0187750
,0.0,0.0,tt0187761
,0.0,0.0,tt0187847
,10000000.0,0.0,tt0188045
,0.0,0.0,tt0188055
NR,0.0,46352.0,tt0188128
,10000000.0,0.0,tt0188160
R,13000000.0,0.0,tt0188453
,0.0,0.0,tt0188490
,0.0,0.0,tt0188518
,0.0,0.0,tt0188575
,0.0,0.0,tt0188688
PG,35000000.0,16176700.0,tt0189192
,0.0,0.0,tt0189456
,0.0,0.0,tt0189541
R,8000000.0,8279020.0,tt0189998
,0.0,0.0,tt0190052
R,41300000.0,106372000.0,tt0190138
,17000000.0,213526000.0,tt0190332
PG-13,35000000.0,15185200.0,tt0190374
PG,0.0,0.0,tt0190398
,0.0,0.0,tt0190449
PG-13,0.0,0.0,tt0190524
PG-13,26000000.0,71870700.0,tt0190590
,0.0,0.0,tt0190736
,0.0,0.0,tt0190861
PG-13,75000000.0,215664000.0,tt0190865
,0.0,0.0,tt0190994
R,0.0,14693.0,tt0191037
,0.0,0.0,tt0191177
,3500000.0,0.0,tt0191242
PG-13,50000000.0,50054500.0,tt0191397
,0.0,0.0,tt0191636
PG-13,43000000.0,6219890.0,tt0191754
,0.0,0.0,tt0191787
R,0.0,0.0,tt0191996
R,0.0,0.0,tt0192023
PG-13,22000000.0,0.0,tt0192071
PG-13,14000000.0,13127000.0,tt0192111
,0.0,0.0,tt0192126
,0.0,125734.0,tt0192237
G,35000000.0,27965900.0,tt0192255
,0.0,2061920.0,tt0192295
,0.0,0.0,tt0192346
R,0.0,0.0,tt0192455
PG-13,15000000.0,50802100.0,tt0192614
,0.0,0.0,tt0192719
R,14000000.0,38574400.0,tt0192731
NR,0.0,0.0,tt0192912
,0.0,0.0,tt0192949
,0.0,0.0,tt0193135
,0.0,0.0,tt0193318
R,0.0,0.0,tt0193364
,0.0,0.0,tt0193560
R,0.0,0.0,tt0193854
R,0.0,0.0,tt0193859
,0.0,0.0,tt0194104
R,1000000.0,779137.0,tt0194218
