imdb_id,production_companies_id
tt0113026,23335
tt0113026,21366
tt0113026,14425
tt0113026,18109
tt0113092,15889
tt0113092,6180
tt0113092,14012
tt0113092,9413
tt0116391,24963
tt0118694,16678
tt0118694,3126
tt0118694,8403
tt0118694,11395
tt0118694,16324
tt0118852,19994
tt0118852,4287
tt0119273,5042
tt0119273,9993
tt0119273,4538
tt0119273,5804
tt0119495,24963
tt0119806,24963
tt0120202,8098
tt0120202,8064
tt0120202,6891
tt0120202,9500
tt0120263,19242
tt0120263,6762
tt0120263,15783
tt0120263,18971
tt0120467,23746
tt0120467,4313
tt0120467,19989
tt0120626,8504
tt0120626,618
tt0120626,21764
tt0120626,1049
tt0120626,11198
tt0120626,19134
tt0120626,18062
tt0120626,7470
tt0120626,15128
tt0120630,6492
tt0120630,681
tt0120630,6490
tt0120630,16817
tt0120698,24963
tt0120733,4775
tt0120753,12007
tt0120755,16715
tt0120755,5437
tt0120903,122
tt0120903,2308
tt0120913,122
tt0120913,5822
tt0120913,8463
tt0120917,24057
tt0120917,24056
tt0122161,13302
tt0122459,14386
tt0122459,11228
tt0123003,11169
tt0123003,16315
tt0123055,24963
tt0127349,9404
tt0127349,6838
tt0127349,17352
tt0128158,24963
tt0130623,24057
tt0130623,24056
tt0131704,23374
tt0131704,4044
tt0131704,22921
tt0131704,11598
tt0131704,24370
tt0131704,11345
tt0132885,24963
tt0132910,11364
tt0132910,6180
tt0132910,16532
tt0133752,19429
tt0134084,12103
tt0134084,5318
tt0134084,6180
tt0134630,10201
tt0134630,2575
tt0134630,19780
tt0134847,11015
tt0134983,14386
tt0134983,23335
tt0134983,9794
tt0134983,19596
tt0135707,13597
tt0138288,24963
tt0138353,16009
tt0138749,6492
tt0138749,6490
tt0138818,24963
tt0138927,24963
tt0138946,14617
tt0138946,10844
tt0139388,24963
tt0139500,16608
tt0139500,10964
tt0139500,5180
tt0141926,23374
tt0141926,6187
tt0141926,4004
tt0142650,14036
tt0143344,5612
tt0144084,12956
tt0144084,17518
tt0144084,15112
tt0144142,14617
tt0144528,10678
tt0144528,23374
tt0144574,24963
tt0144608,1600
tt0144608,10724
tt0144964,5830
tt0144964,6180
tt0146309,15514
tt0146309,22579
tt0146309,10201
tt0146309,2572
tt0146309,3623
tt0146309,2575
tt0146882,3626
tt0146882,22786
tt0146882,24541
tt0146882,15489
tt0146882,6301
tt0146984,6492
tt0146984,122
tt0146984,24386
tt0146984,7173
tt0146984,1109
tt0147486,24963
tt0148120,6540
tt0148421,24963
tt0149367,9404
tt0149367,10998
tt0149367,17352
tt0149367,19555
tt0149367,16531
tt0149367,10498
tt0149624,5042
tt0149624,14617
tt0151150,23355
tt0151309,24963
tt0153012,24963
tt0153100,24963
tt0153464,24963
tt0155150,15168
tt0156020,20724
tt0156020,10650
tt0156020,13036
tt0156020,14695
tt0156323,23374
tt0156323,18772
tt0156741,24963
tt0156757,5046
tt0156807,24963
tt0156812,24096
tt0156812,1020
tt0156841,16715
tt0156841,12451
tt0156942,12902
tt0157122,19241
tt0157202,24963
tt0157262,4751
tt0157262,9993
tt0157836,24963
tt0158033,15361
tt0158622,23374
tt0158622,1237
tt0159291,24963
tt0159371,24963
tt0159396,17204
tt0159396,20448
tt0159784,9742
tt0160009,24096
tt0160009,1246
tt0160009,8513
tt0160009,14875
tt0160127,5042
tt0160127,21849
tt0160127,8263
tt0160127,12666
tt0160256,24963
tt0160289,24963
tt0160403,24963
tt0160434,24963
tt0160447,24963
tt0160484,15514
tt0160484,4164
tt0160484,2057
tt0160484,17762
tt0160495,429
tt0160495,14255
tt0160547,24963
tt0160611,14617
tt0160611,8057
tt0160611,12993
tt0160611,22233
tt0160611,19581
tt0160611,10567
tt0160611,22933
tt0160611,21922
tt0160616,17028
tt0160616,4357
tt0160616,18426
tt0160644,24963
tt0160652,24548
tt0160652,17120
tt0160663,24871
tt0160710,24963
tt0160749,24963
tt0160759,18062
tt0160759,24819
tt0160759,6049
tt0160797,16715
tt0160797,19780
tt0160797,15099
tt0160859,24963
tt0161003,24963
tt0161081,6492
tt0161081,122
tt0161081,10655
tt0161216,1623
tt0162222,6492
tt0162222,122
tt0162222,17273
tt0162222,10655
tt0162650,16715
tt0162650,19558
tt0162650,15493
tt0162650,15098
tt0162650,19840
tt0162711,19382
tt0162983,5042
tt0162983,12561
tt0162983,9158
tt0162983,15770
tt0163080,15538
tt0163080,2003
tt0163080,10567
tt0163080,17508
tt0163080,7084
tt0163125,24963
tt0163676,14875
tt0163745,4237
tt0163745,15330
tt0163978,7748
tt0163983,16715
tt0163983,10567
tt0163983,15097
tt0164052,5042
tt0164052,9158
tt0164052,18400
tt0164182,24963
tt0164192,18471
tt0164212,18582
tt0164212,21657
tt0164318,10102
tt0164545,24963
tt0164953,6413
tt0164953,15467
tt0165400,18982
tt0165642,22416
tt0165642,17261
tt0165800,24963
tt0165928,1098
tt0165929,24096
tt0165929,20135
tt0166013,24963
tt0166192,24963
tt0166370,10893
tt0167183,24963
tt0167203,5042
tt0168446,7978
tt0168504,15573
tt0168504,15572
tt0168509,24963
tt0168612,12955
tt0168629,8098
tt0168629,23974
tt0168629,5152
tt0168629,24844
tt0168629,618
tt0168629,4008
tt0168629,5634
tt0168629,19242
tt0168629,617
tt0168629,14310
tt0168629,21742
tt0168629,8506
tt0168629,7893
tt0168629,1368
tt0168629,24643
tt0168629,7904
tt0168629,3112
tt0168629,23520
tt0168629,12825
tt0168629,25177
tt0168629,16544
tt0168629,23026
tt0168629,4689
tt0168629,24249
tt0168629,7968
tt0168629,12488
tt0168631,4724
tt0168631,5379
tt0168631,3998
tt0168631,10500
tt0168631,821
tt0168631,4594
tt0168631,13966
tt0168714,24963
tt0168856,21743
tt0168856,473
tt0168856,6845
tt0169122,24963
tt0169324,5688
tt0169324,5827
tt0169543,4216
tt0170016,10678
tt0170016,23374
tt0170016,12286
tt0170452,24963
tt0170691,122
tt0170691,9747
tt0170691,15529
tt0170691,12011
tt0171356,10201
tt0171356,8401
tt0171359,14617
tt0171359,25003
tt0171433,20797
tt0171433,22786
tt0171433,22968
tt0171580,23374
tt0171580,9404
tt0171580,17708
tt0171580,10500
tt0172464,5453
tt0172495,6492
tt0172495,23374
tt0172495,19555
tt0172495,18400
tt0172495,14507
tt0172495,3741
tt0172495,5831
tt0172632,24963
tt0172699,17728
tt0172699,6300
tt0172794,9682
tt0172794,1575
tt0172794,14415
tt0172949,24963
tt0173568,24963
tt0173716,4008
tt0173716,1764
tt0173716,17334
tt0174336,10066
tt0174480,14386
tt0174480,12451
tt0174646,24963
tt0175114,6042
tt0175142,9244
tt0175142,24151
tt0175142,6180
tt0175142,3411
tt0175526,18843
tt0175526,16019
tt0175526,10844
tt0175526,8591
tt0176244,18854
tt0176579,19487
tt0176650,24716
tt0176650,19612
tt0176783,23782
tt0176783,15244
tt0176783,24096
tt0176783,16376
tt0177068,19994
tt0177068,4629
tt0177185,22993
tt0177185,9111
tt0177195,20638
tt0177195,13047
tt0177213,24963
tt0177513,24963
tt0177650,7813
tt0177650,10998
tt0177650,9507
tt0177650,9506
tt0177650,23324
tt0177650,24410
tt0177845,4008
tt0177845,7904
tt0177845,18536
tt0177845,4349
tt0177858,24596
tt0177858,602
tt0177858,17892
tt0177888,24963
tt0177971,24096
tt0177971,2378
tt0177971,18091
tt0178043,2769
tt0178043,23277
tt0178050,8462
tt0178050,22274
tt0179144,12499
tt0179183,22156
tt0179400,20998
tt0179443,24963
tt0179473,22946
tt0179473,5970
tt0179473,14988
tt0179653,24963
tt0179861,6819
tt0180073,8475
tt0180073,10844
tt0180073,24052
tt0180073,10200
tt0180073,4345
tt0180093,22485
tt0180093,1776
tt0180093,17744
tt0180683,17944
tt0181151,5042
tt0181311,11128
tt0181311,2794
tt0181311,10457
tt0181536,8443
tt0181536,12561
tt0181536,8092
tt0181836,3522
tt0181836,14550
tt0181865,2596
tt0181865,23219
tt0181865,10914
tt0181865,5098
tt0181865,20751
tt0181875,5042
tt0181875,6492
tt0181875,23804
tt0181945,7762
tt0181984,15514
tt0182295,14617
tt0182295,21307
tt0182295,1797
tt0182295,10998
tt0182295,16822
tt0182295,19846
tt0182508,24963
tt0183056,8504
tt0183056,8506
tt0183056,12698
tt0183056,1797
tt0183056,24318
tt0183056,3543
tt0183056,3542
tt0183056,24853
tt0183113,24963
tt0183142,4008
tt0183142,12066
tt0183280,8251
tt0183423,24963
tt0183488,24963
tt0183505,122
tt0183505,5190
tt0183523,20797
tt0183523,22255
tt0183523,22786
tt0183523,18350
tt0183550,2006
tt0183550,2821
tt0183550,20023
tt0183550,11030
tt0183639,17896
tt0183659,8529
tt0183659,24828
tt0183808,24963
tt0183869,4008
tt0183869,608
tt0183869,21656
tt0183869,7285
tt0183869,12619
tt0184457,24963
tt0184858,6180
tt0184858,14021
tt0184894,20797
tt0184894,18833
tt0184894,22786
tt0184907,16715
tt0184907,15622
tt0184907,13445
tt0184907,20432
tt0184907,15498
tt0184907,3760
tt0185007,24057
tt0185014,16715
tt0185014,19558
tt0185014,21710
tt0185014,15131
tt0185014,2164
tt0185014,14023
tt0185014,5499
tt0185014,13445
tt0185183,24096
tt0185183,8513
tt0185183,11253
tt0185183,14875
tt0185183,2522
tt0185431,15514
tt0185431,9849
tt0185431,2057
tt0185431,18772
tt0185431,18043
tt0185542,12825
tt0186029,563
tt0186029,20873
tt0186045,4968
tt0186045,15464
tt0186151,15514
tt0186183,15111
tt0186183,11169
tt0186183,6306
tt0186454,4836
tt0186549,12833
tt0186549,5661
tt0186549,19093
tt0186566,23782
tt0186566,13811
tt0186566,24096
tt0186566,13593
tt0186566,4902
tt0186566,6149
tt0186719,24963
tt0186894,14617
tt0186975,14617
tt0187078,11380
tt0187078,22786
tt0187387,8154
tt0187393,5042
tt0187393,20587
tt0187393,4266
tt0187393,15131
tt0187393,9158
tt0187559,22786
tt0187696,4873
tt0187750,24963
tt0187761,24963
tt0187847,24963
tt0188045,24963
tt0188055,17049
tt0188055,8513
tt0188055,11351
tt0188055,14332
tt0188160,15514
tt0188490,2918
tt0188518,24963
tt0188688,24963
tt0189456,2821
tt0189998,2167
tt0189998,19461
tt0189998,13127
tt0189998,17136
tt0190052,15168
tt0190052,3963
tt0190138,24096
tt0190138,8513
tt0190138,14875
tt0190138,15676
tt0190138,18219
tt0190138,12486
tt0190332,4429
tt0190332,5043
tt0190332,9324
tt0190332,6659
tt0190332,1846
tt0190332,23338
tt0190332,24952
tt0190374,15514
tt0190374,20135
tt0190374,21538
tt0190374,13426
tt0190374,21034
tt0190374,2606
tt0190398,20007
tt0190449,23819
tt0190524,15292
tt0190524,4922
tt0190590,23374
tt0190590,21307
tt0190590,22786
tt0190590,24541
tt0190590,3110
tt0190736,9872
tt0190861,4008
tt0190865,5042
tt0190865,9158
tt0190994,1004
tt0191037,7797
tt0191037,4824
tt0191242,15482
tt0191397,24096
tt0191397,2701
tt0191397,6614
tt0191636,8504
tt0191636,4794
tt0191636,7166
tt0191754,5042
tt0191787,24963
tt0191996,9408
tt0192126,24963
tt0192255,15514
tt0192295,21223
tt0192295,17973
tt0192295,24770
tt0192295,16944
tt0192295,22871
tt0192346,2030
tt0192346,18063
tt0192455,22267
tt0192614,23374
tt0192614,16310
tt0192614,15573
tt0192614,5313
tt0192719,5202
tt0192719,14934
tt0192731,5042
tt0192731,16310
tt0192731,17058
tt0192731,4009
tt0192912,3537
tt0192949,24963
tt0193135,19813
tt0193318,24963
tt0193854,6720
tt0193859,24963
tt0194104,1090
tt0194218,13593
tt0194218,1776
tt0194218,22397
tt0194218,22619
tt0194368,2701
tt0194368,4834
tt0194368,13151
tt0194368,19956
tt0194410,16471
tt0194519,24963
tt0195234,8098
tt0195234,10225
tt0195234,17417
tt0195234,18644
tt0195234,20300
tt0195234,24141
tt0195308,20920
tt0195631,24963
tt0195685,11384
tt0195714,15514
tt0195714,24899
tt0195714,9869
tt0195778,8462
tt0195778,8612
tt0195857,24963
tt0195860,24963
tt0195944,8224
tt0195944,18854
tt0195945,15514
tt0196106,11862
tt0196106,8728
tt0196216,6492
tt0196219,24963
tt0196223,24963
tt0196708,24963
tt0196723,24963
tt0197072,23342
tt0197096,12955
tt0197299,14062
tt0197384,11897
tt0197384,8793
tt0197644,15168
tt0197646,24963
tt0197750,20300
tt0197750,11127
tt0197750,11128
tt0197753,24963
tt0197951,7856
tt0197951,1446
tt0198021,122
tt0198021,24409
tt0198284,14602
tt0198284,23146
tt0198386,22786
tt0198893,23107
tt0198903,19504
tt0199129,5661
tt0199290,24963
tt0199314,19581
tt0199314,2164
tt0199314,23640
tt0199504,24963
tt0199650,17049
tt0199650,8513
tt0199650,1446
tt0199650,18698
tt0199725,269
tt0199727,8661
tt0199744,22267
tt0199744,17062
tt0199753,23782
tt0199753,15244
tt0199753,24096
tt0199753,22155
tt0199753,14003
tt0199974,4724
tt0199974,14853
tt0200171,24963
tt0200192,12948
tt0200427,24963
tt0200472,24963
tt0200530,1776
tt0200530,3150
tt0200530,8219
tt0200550,11380
tt0200550,22786
tt0200669,14331
tt0200669,21657
tt0200720,9408
tt0200720,1797
tt0200720,6105
tt0200720,22229
tt0200720,15345
tt0200720,20024
tt0200720,7904
tt0200720,22365
tt0200720,22506
tt0200720,17671
tt0200720,12005
tt0201670,24963
tt0201726,2918
tt0201726,12274
tt0201737,24963
tt0201888,24963
tt0201899,4574
tt0201901,1600
tt0202236,4922
tt0202314,23316
tt0202402,5042
tt0202402,17058
tt0202452,17035
tt0202560,24963
tt0202641,24963
tt0202677,24963
tt0202711,24963
tt0202856,24963
tt0202989,14853
tt0203019,8462
tt0203047,24963
tt0203053,2496
tt0203053,8820
tt0203053,14488
tt0203053,20724
tt0203119,8475
tt0203119,11737
tt0203119,7904
tt0203119,18297
tt0203166,24844
tt0203166,11860
tt0203166,14310
tt0203166,7893
tt0203166,19241
tt0203166,15783
tt0203230,4053
tt0203230,9897
tt0203230,5438
tt0203297,24963
tt0203540,14386
tt0203540,24625
tt0203540,8131
tt0203540,3312
tt0203540,24408
tt0203540,22866
tt0203580,13530
tt0203632,24597
tt0203830,1098
tt0203830,24548
tt0203830,10482
tt0203835,14518
tt0203940,15889
tt0204137,10844
tt0204137,17049
tt0204137,8513
tt0204137,1403
tt0204175,6180
tt0204175,17805
tt0204350,11943
tt0204382,24963
tt0204626,23374
tt0204626,10995
tt0204626,12814
tt0204626,4457
tt0204626,6538
tt0204640,5688
tt0204640,5827
tt0204640,20607
tt0204698,19736
tt0204885,19750
tt0204932,24844
tt0204932,14310
tt0204932,7893
tt0204932,19241
tt0204932,15783
tt0204933,24963
tt0204946,23374
tt0204946,2572
tt0204946,3623
tt0205177,10570
tt0205177,22580
tt0205177,8485
tt0205271,1776
tt0205271,19382
tt0205418,24963
tt0205461,6027
tt0205461,11127
tt0205461,3545
tt0205461,9616
tt0205526,18399
tt0205729,21367
tt0205729,11392
tt0205778,24963
tt0205873,24540
tt0205873,6232
tt0205936,24963
tt0206075,24963
tt0206088,23974
tt0206088,3273
tt0206223,24963
tt0206226,15523
tt0206226,18351
tt0206420,8475
tt0206545,24963
tt0206608,24963
tt0206694,24963
tt0206742,24963
tt0206917,23374
tt0206917,4008
tt0206917,24541
tt0206917,868
tt0206926,16607
tt0206926,2167
tt0207036,24963
tt0207161,5152
tt0207161,2118
tt0207163,4144
tt0207201,16715
tt0207201,10570
tt0207333,24963
tt0207377,4574
tt0207501,24963
tt0207524,24963
tt0207631,18471
tt0207631,8224
tt0207631,11434
tt0207638,24963
tt0207745,24963
tt0208003,122
tt0208003,18468
tt0208017,24963
tt0208037,24963
tt0208050,24963
tt0208092,5042
tt0208092,19158
tt0208196,10778
tt0208204,13530
tt0208298,4134
tt0208298,20056
tt0208870,16808
tt0208874,6492
tt0208874,4724
tt0208874,2524
tt0208874,19126
tt0208874,4585
tt0208883,15449
tt0208883,24770
tt0208883,3634
tt0208889,8334
tt0208889,4264
tt0208911,15573
tt0208911,9324
tt0208942,24963
tt0208988,24096
tt0208988,7173
tt0208988,8513
tt0208988,14875
tt0208988,22155
tt0208993,15557
tt0209037,24963
tt0209144,21383
tt0209144,15573
tt0209144,21961
tt0209144,10452
tt0209180,4534
tt0209180,18063
tt0209180,4618
tt0209279,7660
tt0209279,3816
tt0209322,20278
tt0209958,15514
tt0209958,2057
tt0209958,11791
tt0209958,4107
tt0209958,18099
tt0210065,18747
tt0210065,7964
tt0210065,12993
tt0210065,16542
tt0210065,7904
tt0210065,3543
tt0210065,3542
tt0210065,15217
tt0210070,5215
tt0210075,19580
tt0210075,126
tt0210149,16625
tt0210149,16206
tt0210149,16289
tt0210299,18664
tt0210299,7192
tt0210357,24963
tt0210358,8513
tt0210358,2069
tt0210358,12285
tt0210382,21307
tt0210382,14604
tt0210382,16579
tt0210382,13885
tt0210567,24963
tt0210584,2006
tt0210616,5042
tt0210756,24963
tt0210945,24057
tt0210945,11380
tt0210945,21970
tt0210945,19025
tt0210952,9380
tt0210952,18207
tt0211181,24057
tt0211181,5435
tt0211181,11739
tt0211309,11136
tt0211309,14407
tt0211309,4581
tt0211387,7729
tt0211387,12698
tt0211387,21259
tt0211387,7292
tt0211492,24963
tt0211661,9082
tt0211718,618
tt0211718,17571
tt0211718,1882
tt0211919,24963
tt0211938,4164
tt0211938,24096
tt0211941,14012
tt0211941,24039
tt0211941,2290
tt0211941,2585
tt0211941,14514
tt0211941,16913
tt0211941,17015
tt0212059,20421
tt0212059,5947
tt0212215,6035
tt0212215,15784
tt0212338,6492
tt0212338,23374
tt0212338,22921
tt0212338,15293
tt0212346,23782
tt0212346,4164
tt0212346,15244
tt0212346,24096
tt0212346,8401
tt0212604,24963
tt0212667,24963
tt0212719,24963
tt0212742,24963
tt0212815,4283
tt0212826,1154
tt0212826,16700
tt0212830,21307
tt0212830,2462
tt0212830,18879
tt0212879,22993
tt0212881,24963
tt0212974,20581
tt0213127,22890
tt0213203,16715
tt0213203,15622
tt0213203,12035
tt0213446,16988
tt0213446,8465
tt0213561,11775
tt0213561,5974
tt0213690,23727
tt0213690,17406
tt0213690,24461
tt0213790,19184
tt0213847,14617
tt0213847,14277
tt0213847,16526
tt0213847,21991
tt0213890,24669
tt0214140,24963
tt0214277,14602
tt0214277,2343
tt0214388,6464
tt0214388,12956
tt0214388,14430
tt0214548,24963
tt0214638,6725
tt0214638,17896
tt0214646,24963
tt0214728,14195
tt0214728,14243
tt0214757,20752
tt0214757,6666
tt0214871,20147
tt0214878,21656
tt0214878,2702
tt0214878,11473
tt0214878,14901
tt0214878,19402
tt0215129,6492
tt0215129,22298
tt0215223,24963
tt0215232,24963
tt0215458,24963
tt0215545,15514
tt0215545,269
tt0215679,24963
tt0215681,24963
tt0215841,24963
tt0215941,24963
tt0216105,7120
tt0216105,14944
tt0216216,17058
tt0216279,24963
tt0216417,2006
tt0216417,22455
tt0216417,7884
tt0216417,8790
tt0216522,24963
tt0216578,24963
tt0216587,4008
tt0216587,11790
tt0216587,5139
tt0216587,9921
tt0216587,7274
tt0216587,4940
tt0216587,3855
tt0216587,9882
tt0216587,754
tt0216620,13460
tt0216620,18167
tt0216625,8504
tt0216625,618
tt0216625,4008
tt0216625,12698
tt0216625,2532
tt0216625,24770
tt0216625,13483
tt0216625,7976
tt0216625,18872
tt0216651,13636
tt0216651,9343
tt0216669,24963
tt0216689,3855
tt0216689,16482
tt0216689,21656
tt0216689,1632
tt0216689,3770
tt0216689,4981
tt0216772,15514
tt0216772,16737
